news	explanation	label
因“中国抗疫不力”，英国不让华为参与5G建设？	因中国“抗疫不力”，英国考虑收回让华为参与5G建设的邀请。当地时间4月21日，英国外交部常务次官西蒙·麦克唐纳表示，英国政府将继续允许中国华为公司参与英国的5G网络建设，这一决定是坚定的。麦克唐纳在一次会议上被议员问到，是否会建议外交大臣改变政府对华为的立场，他表示：“正如你们知道的，政府决定在非常严格的条件下继续吸引投资……据我所知，这是一个坚定的决定，不会重新开放讨论。”麦克唐纳指出：“中国是英国重要的合作伙伴，我认为，继续执行有关华为的决定、保持同华为公司的战略关系，对英国具有重要意义。”	假
纽约殡葬公司员工午睡被同事误当尸体火化？	美国纽约某家殡葬公司一名员工麦克琼斯（48岁）因长期搬运冠病死者遗体而暂时小休，没想同事误以为是52岁因呼吸疾病去世死者的尸体而拿去火化，结果造成麦克琼斯被活活烧死。根据今日印度反假新闻作战室的报道表示，这是由Weekly Inquirer英文网站刊登的新闻，名为《纽约：累倒的殡葬业职员小休却遭错误火化》。在Weekly Unquirer 的隐私政策中提到“本网站的信息仅用于信息和娱乐目的”，而刊登文章中的不实信息，该网站不承担任何责任。另一方面，美国打假新闻网站SNOPES在2017年3月3日刊登名为《停尸房员工是否遭错误火化》的报道表示，上述假新闻曾在2017年1月于讽刺性内容网站World News Daily Report刊登，也在2017年12月和2018年3月于ABC新闻刊登，里头的内容大致相同，除了殡葬公司名字、政府单位及涉案主角名字的不同。	假
共青团中央发文称有95%的美国人不配活着？	4月19日，网友@王怜花 发表的一条微博在网上热传“共青团中央”在知乎发文称“95%的美国人确实没觉醒，他们不配活着。”4月19日23时许，共青团中央通过官方微博称，“今日，有声称为 @共青团中央 知乎账号回答的截图在微博、微信等网络平台流传，部分账号以此为依据对共青团中央进行恶意揣测和攻击。”“经核实，此内容并非任何@共青团中央 官方账号发布，相关内容为伪造。我们将行使依法追究传播者责任的权利。”	假
哈尔滨群体感染为“邻里出轨”所致？	哈尔滨群体性感染，是楼栋之中的男女邻居之间“出轨”引发的。流传的关系图中，第一环的韩某是“男性”，而经哈尔滨市疫情防控指挥部核实，韩某是女的，所以是谣言。另外，韩某与曹某是楼上楼下邻居，但二人并不相识，韩某在隔离期间，居家未外出。而通报中的——“双方共同居住生活在此”，理解成“同居”。通过流调和大数据比对发现曹某与韩某的关联性后，当地疾控和公安专业技术人员立即对其居家隔离地进行了现场勘察，发现整个单元共用一部电梯，存在可能被污染的共同空间；上下相邻两层间由于房屋结构等原因，也存在疫病传播的可能。	假
泰国出现首个新冠肺炎“尸传人”案例？	英国《太阳报》4月13日报道，有专家在《法医与法律医学杂志》撰文称，泰国一法医疑被新冠肺炎确诊患者遗体感染后去世。泰国公共卫生部疾病控制厅负责人阿努蓬表示，外国媒体所报道的“尸传人”案例并非真实信息，目前还未收到相关报告。当地媒体泰国通讯社也对“尸传人”新闻进行了真实性核查，结果均显示泰国首起“尸传人”的新闻并非真实新闻，尚无明确证据证明“尸传人”案例为真。	假
比尔·盖茨基金会制造疫情“清除人类”？	社交媒体上传言称，病毒是从比尔·盖茨在疫苗研制过程中制造出来的。正在阴谋利用疫情和疫苗控制人口。上述阴谋论的原因主要有以下两个：2019年10月18日，美国约翰霍普金斯卫生安全中心，与盖茨基金及世界经济论坛合作，模拟了一场全球瘟疫流行的桌面演练。最重要的一点，比尔盖茨曾说过“通过疫苗能让世界人口下降10%到15%”，这也是他被推测有一个“通过疫苗实行人类清除计划”最重要的论证。第一个原因，逻辑很荒谬，如果对风险的预估和模拟成为了制造危险的原因，那所有的“压力测试”、“灾害预演”就都变成了“肇事者”。而后一个原因，完全是断章取义。这个原因源于一次《金融时报》对比尔·盖茨的采访，而比尔·盖茨的完整意思是，“善于运用新式疫苗”，可降低儿童死亡率，加上“健康卫生状况上的改善，包括自愿计划生育和引导人们趋向较小的家庭”，能够降低人们的生育愿望，降低出生率，减少人口压力。从而可以降低总人口数的10-15%。最后，在国外，“反疫苗”的群体不在少数，他们坚信注射疫苗是谋财害命的事情：主动把病原体输入人体，不出现问题才怪！所以，比尔·盖茨在疫苗研发上投入的越多，反疫苗群体就攻击得越厉害。	假
美国批准新冠“唾液检测法”准确率100%？	4月13日，美国食品药品监督管理局（FDA）批准了全美第一种基于唾液的新冠病毒检测方法，其检测准确率达到100%。根据美国FDA公布的紧急使用授权书，罗格斯大学通过抽取60位疑似感染新冠病毒患者的唾液标本和鼻咽拭子样本，对该方法的准确性进行测试，发现其结果与鼻咽拭子的结果匹配度达100%。需要指出的是，鼻咽拭子检测法也并非100%准确，而且美国FDA也表示，如果唾液中的新冠病毒检测结果为阴性，还应通过其他标本类型的检测来确认。所以，“唾液检测法准确率100%”的说法并不严谨，其真实准确率有待进一步研究。	待论证
特朗普请巫师驱除新冠病毒？	网传视频内容中，几个人手搭在特朗普肩上，嘴里在默念一些东西。视频配文称，这是特朗普请巫师驱除新冠病毒。网传视频是2017年9月1日，美国总统特朗普和宗教领袖为飓风“哈维”受害者祈祷。特朗普当日签署了一项公告，将9月3日定为全国祈祷日，为飓风“哈维”受害者祈祷。	假
黑龙江疫情形势严峻，牡丹江13日起封城？	黑龙江疫情形势严峻，绥芬河口岸入境人员确诊病例和无症状感染者数量迅速上升，牡丹江于4月13日起封城。黑龙江省牡丹江市委网信办发布了第13号辟谣公告：网传牡丹江4月13日起全市封城，此信息系谣言。公安机关已查到造谣者，正在调查处理中。	假
哈尔滨医科大学附属第一医院医生感染？	哈尔滨医科大学附属第一医院耳鼻喉科出现医生感染事件，耳鼻喉科封科。哈尔滨医科大学附属第一医院宣传科科长施洋在接受记者采访时表示，耳鼻喉科还在正常门诊和诊疗，包括我们的住院处也在正常办公。 疫情期间，我们医院设立了发热门诊，检测出来的确诊病例会统一送到定点医院进行收治。	假
中国大使向尼日利亚“鞠躬道歉”？	尼日利亚议长，召会中国驻尼大使，表示"要对广州对尼日利亚公民的公正待遇"给个说法，中国大使“鞠躬道歉”。2020年4月12日，中国驻驻尼日利亚使馆官方微信发布驻尼日利亚使馆新闻发言人的声明进行了回应，疫情期间为保持社交距离，对方将播放视频的手机平放在茶几上，中国大使是在俯身看桌上视频，对此次会见场景的其他解读均不符合事实。	假
剑桥大学研究认为新冠病毒原始版在美、澳更常见？	一篇英国和德国学者共同撰写的论文显示，在人类中最早出现的原始版本的新冠病毒“A型”，虽然出现在武汉，但并没有在武汉流行开来，而是在美国更为常见。这篇论文先是将一种与新冠病毒的同源性高达96.2%的蝙蝠冠状病毒（即中国武汉病毒所的石正丽团队发现的BatCovRaTG13病毒），设定为新冠病毒在动物中的祖先，然后以此为参考，把从“全球共享流感数据倡议组织”（GISAID）的数据库中提取的160个世界各地的新冠病毒基因，按照进化的关系，分为了A、B、C三个类型。但这个“祖先”的设定只是一种“假设”，并非是一个“事实”，所以得出的结论也值得商榷。论文的第一作者，英国剑桥大学的Peter Forster博士也表示，除了目前已经发布在PNAS上的这篇论文，他和其他学者们还已经完成了一个涉及1001个病毒基因样本的分析，只是该论文尚未发表，也没有经过同行评审。但他表示，不论是哪篇论文，目前仍无法就病毒的	待论证
“协和医院熊院长”称两年内不能接触痊愈的新冠患者？	协和医院熊院长说，一定要注意，如果朋友或者同事得到过这种病的在今后两年是绝对不能接触的，包括吃饭，办公，谈话或打牌等等，因为这个病毒是不可能从病人身上被彻底消灭的，这个病毒会永远寄生存在于病人身上。现在最好的药也只是压制病毒加上病人自身抗体而形成的表面上的健康，但正常人一接触他，随时就可能被传染。此病目前无任何药可以根治而达到不传染的痊愈水平，所以今后一定要注意，这不是开玩笑！公立“协和医院”全国仅三家，北京协和医院是一家全国知名的三甲医院。此外，本次疫情又让全国人民知道了武汉有个协和医院，即华中科技大学同济医学院附属协和医院（建于1860年，比北京协和医院建院要早）。另外，在福建还有一家协和医院即福建医科大学附属协和医院，也是三所协和医院之中建成最早的，在1860年即建成。三家公立的协和医院均没有一位熊姓院长。西安市中心医院感染科主任付建军表示，目前还没有文献报道，也没有专家指出新冠肺炎患者治愈后会短时间内再次感染。关于新冠肺炎患者“复阳”患者，“首先，全国目前复阳的患者仅为极少数。其次，确诊的新冠肺炎患者经过治疗，出院后需前往指定留观医院继续进行隔离管理和健康状况监测14天后才可回家。目前我国关于新冠诊疗指南没有明确要求患者回家后还需继续隔离。但建议在患者出院后第2周和第4周到医院随诊和复查。上海复旦大学华山医院感染科主任张文宏关于复阳曾说过：复阳背后有复杂的科学机制，但复阳不具备显著的临床意义，在流行病学史里不会引起大面积爆发，到目前为止没有一例人传人，因为病毒是“死的”，如果重新去培养也是培养不出来的。	假
美国新冠患者跳海自杀污染海水，要抢购食盐？	一段流传的“美国新冠肺炎患者跳海自杀”的视频称，尸体会污染海水并污染海盐，需要提前屯盐。该视频为2014年发生在利比亚的难民沉没事件。北京时间联系上当地市场监管局，回应称抢盐情况确有发生，当地很快已进行辟谣及监管。	假
柳州奖励援鄂医疗队每人一辆汽车？	一段柳产车护送柳州援鄂医疗队回柳的视频在网上流传，视频同时配文“柳州奖励援鄂医疗队员，每人奖励一辆汽车！赠奖车身每辆都已打有英雄字样，今后开出来停车不收费。”4月9日晚上，上汽通用五菱官方作出回应，“上汽通用五菱为每一位柳州援鄂医疗队员提供的是半价购车权和三个月体验权。但是视频中的确是用宝骏530和宝骏新能源的车队，以最高的礼遇将他们一一接回柳州。”据核实，该视频拍摄的是柳州以最高礼遇迎接援鄂英雄归来的场景。	假
武汉解封，上海成为全国最危险的地方？	4月8日起多日的武汉来沪车票已售罄，每天几千武汉人来到上海。他们中，不乏夹杂着“无症状感染者”“复阳者”，这使得上海面临着巨大的防控压力。“上海成全国最危险地方”“饭馆下不得、公共汽车坐不得”。4月8日以后去上海的火车票确实比较紧张，但“全部抢光”显然夸大其词。记者4月8日下午4时搜索发现，就4月9日的来沪车票来说，上海8时的G1722、中午11时25分的D3048以及下午3时41分以后的多个班次均有余票。而从4月11日起，几乎全天的车次都仍有余票。据上海市疫情防控工作领导小组办公室负责人表示，上海正保持警惕、严密防范，始终坚持“外防输入、内防反弹”的防控策略。既要把防范境外疫情输入作为重中之重，又要加大对无症状感染者的管理力度，强化防控措施的针对性和社区管控的严密性，切实防止出现漏洞。严密的防控措施看得出，上海有能力让安全防线更牢固，上海市民逐渐正常化的生活也完全有保障。时下，疫情防控已进入常态化。上海有着群防群治的优势，市民在工作、生活中只要做到戴口罩、勤洗手、不聚集，做好自我防护，“饭馆下不得”“公共汽车坐不得”“防同事”“防路人”完全没有必要。	假
张文宏医生自曝自己184万的年收入？	张文宏医生自曝了自己184万的年收入和一张全家福，引发全网热议。在接受媒体采访时，张文宏表示，这些信息纯属谣言。就拿所谓的百万年薪来说，其所在的华山医院并不实行年薪制，而科研属于工作任务，并非营利行为，不存在借此获得大笔收益的情况。并且表示自己是感染科主任，而非传闻中的呼吸科主任。	假
150万在俄华人将被驱逐并大批涌入黑龙江省？	随着俄罗斯封城，大批在俄华人被驱逐出境。未来几天，将有大约150万华人分别从绥芬河、黑河、抚远三个口岸陆续回国。牡丹江将成为此次事件的重灾区。中国驻符拉迪沃斯托克总领馆表示，传言中所说的大批华人将在未来几天从绥芬河、黑河等口岸陆续回国也根本不可能实现，因为黑河口岸早已关闭，而绥芬河政府和俄罗斯滨海边疆区政府也分别发布消息，宣布绥芬河-波格拉尼奇内公路口岸人员通道4月7日至13日将临时关闭。另据一名抚远知情人士告诉记者，抚远口岸每年冬季都处于封关状态，往年直到5月1日才能开关，目前依然处在封闭状态。在俄华人华侨大概一共在20万到30万左右，根本不像这则网络谣言中说的有150万之多，而且目前大多数华人华侨还是会留在俄罗斯，自行在家保持社交距离。俄罗斯不可能大规模驱逐华人华侨，否则将是两国极大的外交危机。	假
广州黑人暴雷！两个孩子被传染？	广州黑人暴雷！两个孩子被传染，六大谜团待揭开4月7日，广州卫健委发布通告，证实3月24日尼日利亚籍黑人病例与庄某并无关联，也不是8岁女童的父亲。越秀区疫情防控指挥部办公室发布澄清声明说并不存在“封村”，但是在原有防控措施基础上，加强了管控。广州市越秀区委常委、区政府党组成员颜强表示，经全面摸查，越秀区区散居外国人总计3462人，排名前五的是：美国350人，马里308人，尼日尼亚227人，加拿大208人，澳大利亚200人。“网上传说有30万非洲人，是不实的，但我们是有非常精准的数据。”	假
武汉14.7%的猫已感染新冠病毒？	华中农业大学金梅林教授、中科院武汉病毒所石正丽教授合作在预印本平台bioRxiv上发表题为：SARS-CoV-2 neutralizing serum antibodies in cats: a serological investigation 的研究论文。随后，有媒体报道“研究发现新冠病毒可以感染猫：14.7%的猫已感染”。上述论文作者之一，华中农业大学教授金梅林接受红星新闻记者采访时表示，在没有界定范围的情况下单独摘出“14.7%的猫已感染新冠病毒”并不准确，会造成民众的一个误导和恐慌，这是不可取的。”“14.7%的猫血清可以通过间接酶联免疫吸附实验（ELISA）检测到新冠病毒抗体的存在。”这个结论的取样范围为武汉地区高风险	假
美国有很多感染者跳海自杀？	微博和微信流传一段海边打捞遗体的视频。发布者配发文字称，那是美国许多普通百姓感染新冠肺炎后求医无门，绝望地跳海自杀。该视频的场景本身虽然是真的，但并非发生在美国。其实是2014年5月利比亚开往意大利的偷渡船失事后，偷渡客遗体被冲到海边，海岸警卫队等工作人员在打捞遗体。至今，没有任何正规媒体报道美国有人因为新冠肺炎而跳海自杀。 目前，配发谣言文字的该视频有些已经被删除。	假
荷兰购买的中国口罩不合格？	荷兰、比利时等部分欧洲国家媒体报道称，从中国购买的口罩不合格，存在质量问题。外交部发言人华春莹在例行记者会上表示，关于荷兰媒体称口罩存在质量问题，根据中方有关部门初步调查了解，那批口罩是荷兰代理商自己采购的， 中方企业发货前已告知荷方此批口罩为非医用口罩，出口报关手续也是以“非医用口罩”名义履行的。商务部外贸司二级巡视员刘长于也在商务部例行记者会上说，“根据有关材料，我们了解到，荷兰公司向我相关企业采购的这批口罩为个人防护用的非医疗用口罩。有关企业出口时也做了说明。非医用口罩不能用于医疗用途，也不能用于在重症监护室工作的医护人员。”	假
疫情期间为求生活，东莞发生一起警匪交战？	网传视频称，因为复工没订单，为求生活，东莞发生一起警匪交战，四名匪徒意欲反扑抢枪最终被击毙。视频中马路上有有轨电车轨道，而东莞中心城区目前没有通有轨电车。视频画面，右上角的建筑上有疑似“世界”的标志，这与上海车墩影视基地里的“新世界”建筑非常相似，视频中的警匪交战应该是某影视作品的拍摄场面。	假
意大利警察为防疫情当街抓老人？	网上流传视频，多名身着制服的外国警察正在街头推搡驱赶人群，随后镜头一转，一名警察将站在路边的一名老人抱了起来，关到了警车上……配文由此称，“老年人是新冠病毒高危人群，意大利警察当街把65岁以上的老年人都抓了关起来。”视频中的人说的并不是意大利语；其次，视频中警察穿的防弹背心上有“polis”的标志，而意大利语中警察并不是“polis”而是“polizia”。视频左上角有“TOPLUM TV”的logo，这是一家阿塞拜疆的电视台，视频中警车上的旗帜也是阿塞拜疆国旗。还有一处店招名称上有“TOVUZ”，这是阿塞拜疆的“塔乌兹”。【塔乌兹区（阿塞拜疆语：Tovuz rayonu）位于阿塞拜疆西北部，是阿塞拜疆59个区之一，东为格鲁吉亚，西为亚美尼亚】可以肯定，此事发生在阿塞拜疆。与意大利、西班牙毫无关系。搜索新闻发现，2019年10月，阿塞拜疆首都巴库发生了反政府集会，视频中是警察在抓捕反对派示威者。	假
疫情导致上万人死亡，武汉殡仪馆排队领骨灰？	网络上流传视频，疫情导致上万人死亡，死者亲人在武汉殡仪馆等候几个小时领取骨灰。根据武汉市的统计，2019年全市有5.12万人死亡，每个月平均4000多人；因为冬季寒冷，所以1至2月死亡人数更多一些，每个月大约5000人。这些是除去疫情因素外正常死亡人数。自今年1月23日武汉市疫情防控以来，全市逝者骨灰均没有领取。3月23日起，武汉各殡仪馆重新开放领取骨灰，排队人数较多，是因为武汉市在今年封城的两个月里，除因新冠肺炎死亡人数外，还有1万人左右是因其他原因死亡。	假
中国企业将卖给法国的口罩转手卖给美国？	4月1日，法国普阿蓝大区主席雷诺·米瑟利耶在同法国多家媒体视频连线时宣称，美国人在中国机场停机坪上以3倍价格用现金将该大区订购的数百万口罩抢购，原本飞往法国的航班直接改飞美国。4月2日上午，该大区主席在社交网络上连发2条消息称，前日所述为假新闻，强调大区订购的口罩正在运来的路上，没有被任何外国人买走。	假
意大利政府将新冠病人尸体丢入万人坑？	网传视频显示，一处室内球场模样的空旷场地内安放着上百具尸体，随后镜头一转，一辆厢式货车正将大量尸体倒入事先挖好的大坑中。与视频一同流传的文字称，这是意大利新冠肺炎失控，出现现代万人坑。网传视频中的一幕并非发生在意大利，而是来自2007年的美国电影《流行病毒》（pandemic），是该电影第145分钟时的一幕。该电影讲述，某种禽流感病毒在洛杉矶传播，情况危急，当地医生研发疫苗，最终战胜病毒的故事。	假
意大利女友感染新冠肺炎，男友脱掉防护服见最后一面后双双殉情？	网传视频称，一对意大利情侣本来约定今年完婚，女友感染新冠肺炎在抢救，男友希望见最后一面后果断脱掉防护服。目前这对情侣双双于25号去世。网传视频中男主实为古巴裔美国演员威廉·莱维（William Levy）。视频中的一幕来自墨西哥电视剧《爱的胜利》（Triunfo del amor ）。	假
2019新型冠状病毒病会通过空气传播？	2019冠状病毒病（COVID-19）会通过空气传播。空气传播通常是通过直径小于5微米的颗粒传播。这些颗粒来自于较大的飞沫蒸发或者存在在尘埃粒子上。它们可能在空中停留较长的一段时间，并可以在超过1米以上的距离范围传播。针对2019冠状病毒病而言，在特定环境下和可以产生气溶胶的医疗操作过程中，病毒可能会通过空气传播在对中国75465例2019冠状病毒病患者的分析中，并未报告通过空气传播的案例。迄今，有几篇学术论文提出病毒可能通过空气传播的初步证据。解读这些初步研究结果时需要谨慎。基于目前证据，世卫组织保留原有建议，即对2019冠状病毒病患者的医疗照护人员建议采用防飞沫与接触隔离措施，而在进行产生气溶胶的诊疗操作时则建议采取防接触与空气传播隔离措施。	待论证
2020年全国高考延期？	教育部发出通知，确认2020年高考延期。中华人民共和国教育部3月31日发出通知：经党中央、国务院同意，2020年全国普通高等学校招生统一考试（以下简称“高考”）延期一个月举行，考试时间为7月7日至8日。具体科目考试时间安排为：7月7日，语文9:00至11:30；数学15:00至17:00。7月8日，文科综合/理科综合9:00至11:30；外语15:00至17:00。湖北省、北京市可根据疫情防控情况，研究提出本地区高考时间安排的意见，商教育部同意后及时向社会发布。	真
东京将于4月2日封城？	日本政府将于4月1日发布紧急事态宣言，并于2日封城（东京）。日本内阁官房长官菅义伟在3月30日下午的记者会上表示，“鉴于此事将给国民生活带来重大影响，必须在听取各方面专家意见的基础上慎重地做出判断。”会上，有记者问，“网上流传着政府将于4月1日发布紧急事态宣言、并于2日封城的消息，这属实吗？”，菅义伟回答说，“我予以明确否定，这不属实。”	假
上海有人假冒防疫人员入室打劫？	上海某物业公司贴出温馨提示“大家要注意，现在有些人穿着疫情服上门说消毒测量体温等，并不是防疫工作人员，其实是入室打劫。”3月30日，澎湃新闻记者从上海警方获悉，该提示系物业工作人员看到外地有类似案例并结合微信群中的传言编写了上述通知。经核实，上海目前从未发生过相关案件。	假
大批留学生取道东南亚，广西口岸一天入境10万？	大批留学生已经取道东南亚……广西昨天一天从陆地口岸入境10万多人，好多华人改道从越南和缅甸入境。《环球时报》记者3月29日就此采访相关部门的人士，他们均表示，无论陆路、水路还是航空边境管控措施都是一样严格。此外，东南亚国家对边境管控严格程度不亚于中国，在双方措施严厉的前提下，不可能有大规模人员无序进入的情况。	假
